Category,Merchant Name,Amount
Groceries,SQ *SUMMERMOON           ,$5.75 
Groceries,SQ *AURON HOLDINGS       ,$6.44 
Dining Out,TST* HOLY ROLLER         ,$16.67 
Groceries,SQ *SUMMERMOON           ,$3.00 
Dining Out,SQ *STOUTHAUS COFFEE PUB ,$4.25 
Dining Out,SQ *BANANARCHY           ,$4.50 
Dining Out,LUCKY ROBOT              ,$11.00 
Dining Out,LE CAFE CREPE            ,$14.18 
Dining Out,USCONNECT ACCNT VEND 1 S ,$2.10 
Recreation,REI #103 AUSTIN DWNTWN   ,$107.17 
Groceries,WHOLEFDS ABT 10384       ,$8.25 
Entertainment,SKY CINEMAS ECOMM        ,$67.50 
Gifts Given,WALTONS FANCY & STAPLE   ,$12.00 
Gifts Given,WALTONS FANCY & STAPLE   ,$6.00 
Recreation,AUSTIN BOULDERING PROJ   ,$17.32 
Payments and Fees,INTERNET PMT-THANK YOU   ,($487.85)
Dining Out,CHICK-FIL-A #02992       ,$7.99 
Groceries,SQ *SUMMERMOON COFF      ,$11.50 
Travel,ROWING DOCK              ,$15.00 
Dining Out,SHAKE SHACK 1129         ,$13.83 
Dining Out,TRATTORIA LISINA         ,$16.00 
Groceries,SQ *SUMMERMOON COFFEE BAR,$6.00 
Dining Out,SQ *CTC LAMAR            ,$5.11 
Education,AUSTIN COMM COLLEGE-TN   ,($15.00)
Dining Out,LA MADELEINE #1135       ,$6.16 
Groceries,SQ *SUMMERMOON COFFEE BAR,$6.00 
Dining Out,SQ *STOUTHAUS COFFE      ,$4.25 
Dining Out,CHUY'S                   ,$14.00 
Dining Out,SQ *AMY'S ICE CREAM      ,$4.52 
Dining Out,SQ *STOUTHAUS COFFE      ,$5.75 
Groceries,SQ *SUMMERMOON           ,$6.00 
Dining Out,KERBEY LANE CAFE-SW      ,$9.00 
Dining Out,QUACK'S 43RD STREET BAKER,$16.00 
Groceries,INTERNATIONAL TRANS FEE  ,$0.16 
Groceries,KAWAII BOX               ,$19.90 
Education,UT RECSPORTS ECOMMERCE   ,$26.00 
Dining Out,CAFE CREME               ,$4.67 
Education,AUSTIN COMM COLLEGE-TN   ,$15.00 
Entertainment,SOOMO LEARNING LLC       ,$55.00 
Dining Out,SQ *HOLLA MODE           ,$7.80 
Dining Out,LE CAFE CREPE            ,$16.00 
Auto Related,COA PARKS & REC          ,$3.00 
Auto Related,COA PARKS & REC          ,$5.00 
Auto Related,AUSTIN CONV CENTER PKG   ,$6.00 
Dining Out,SQ *STOUTHAUS COFFEE PUB ,$4.76 
Dining Out,BEE CAVE COFFEE CO       ,$4.32 
Payments and Fees,INTERNET PMT-THANK YOU   ,($265.78)
Dining Out,TST* AUSTIN JAVA - CITY H,$12.33 
Household,CAFE MONET STUDIOS       ,$23.82 
Groceries,CENTRAL MARKET #420      ,$0.75 
Auto Related,UT PARKING GARAGE        ,$3.00 
Groceries,HEB  #068                ,$15.13 
Dining Out,CHEESECAKE BARTON CREEK  ,$15.00 
Education,UT RECSPORTS ECOMMERCE   ,$26.00 
Dining Out,ALAMO SLAUGHTER LANE REST,$17.26 
Dining Out,SA-TEN COFFEE & EATS     ,$5.85 
Recreation,BARRE3 AUSTIN            ,$23.00 
Travel,ROWING DOCK              ,$25.00 
Travel,ROWING DOCK              ,$20.00 
Dining Out,CHUY'S                   ,$11.50 
Groceries,COPPER IN THE DOMAIN     ,$9.25 
Dining Out,SQ *HOLLA MODE           ,$7.80 
Dining Out,MIA ITALIAN TAPAS  BAR   ,$13.00 
Dining Out,BEE CAVE COFFEE CO       ,$5.00 
Groceries,SQ *SUMMERMOON           ,$5.85 
Dining Out,CANE ROSSO LAMAR  LLC    ,$21.00 
Entertainment,ALAMO SLAUGHTER LANE RETA,$14.00 
Dining Out,THE FUNKADELIC BRUNCH    ,$14.94 
Dining Out,SQ *STOUTHAUS COFFE      ,$5.76 
Groceries,SQ *SUMMERMOON COFF      ,$3.25 
Groceries,SQ *SUMMERMOON COFFEE BAR,$5.87 
Dining Out,SQ *STOUTHAUS COFFE      ,$5.76 
Dining Out,FROST A GELATO SHOPPE    ,$10.32 
Dining Out,ALAMO SLAUGHTER LANE REST,$9.25 
Dining Out,TARKA INDIAN KITCHEN - AU,$16.33 
Groceries,SQ *SUMMERMOON COFFEE BAR,$6.41 
Dining Out,MARKET EATERY            ,$4.63 
Payments and Fees,INTERNET PMT-THANK YOU   ,($168.99)
Dining Out,THE FUNKADELIC BRUNCH    ,$24.90 
Recreation,AUSTIN BOULDERING PROJ   ,$17.32 
Dining Out,CANE ROSSO LAMAR  LLC    ,$13.00 
Education,UT H&F FOOD SERVICE      ,$3.55 
Dining Out,SQ *COW TIPPING CRE      ,$3.74 
Dining Out,KERBEY LANE CAFE-UT      ,$9.00 
Groceries,PP*SHAKESMARTI           ,$6.98 
Dining Out,24 DINER                 ,$18.00 
Education,UT H&F FOOD SERVICE      ,$2.49 
Dining Out,ARAMARK SAC STARBUCKS    ,$4.28 
Dining Out,SQ *DONFOODTRUCK  L      ,$7.50 
Dining Out,FLOWER CHILD AUSTIN 2ND S,$9.74 
Groceries,SQ *SUMMERMOON           ,$5.50 
Dining Out,SQ *TAPIOCA HOUSE        ,$3.32 
Entertainment,SQ *O'S GSB CAFE         ,$3.79 
Groceries,PP*SHAKESMARTI           ,$6.98 
Dining Out,TORCHYS TACOS - 3 - GU   ,$12.39 
Dining Out,SQ *SPACE 24 TWENTY      ,$3.25 
Dining Out,SQ *SPACE 24 TWENTY      ,$5.98 
Dining Out,SQ *FIGURE 8 COFFEE      ,$5.50 
Education,UT H&F FOOD SERVICE      ,$4.52 
Dining Out,SQ *KONA ICE             ,$3.00 
Dining Out,HALAL BROS               ,$9.00 
Groceries,PP*SHAKESMARTI           ,$6.98 
Dining Out,Blenders and Bowls Westla,$9.46 
Entertainment,SQ *O'S GSB CAFE         ,$3.79 
Auto Related,SUNOCO  0307947200       ,$3.26 
Dining Out,SQ *BANANARCHY           ,$4.00 
Computer Related,BIRD APP                 ,$1.90 
Dining Out,SQ *MANGO8               ,$4.67 
Groceries,SQ *BENNU COFFEE         ,$4.33 
Groceries,SQ *BENNU COFFEE         ,$2.71 
Dining Out,HALAL BROS               ,$9.00 
